"","air_yards","qb_hit_observed","posteam","id"
"476",17,0,"SEA",30
"477",29,0,"BAL",4
"478",16,0,"ARI",2
"479",12,1,"MIN",21
"480",4,0,"TB",9
"481",0,0,"MIA",20
"482",12,0,"IND",29
"483",25,0,"JAX",16
"484",2,0,"LV",3
"485",4,0,"SF",32
"486",4,0,"LA",6
"487",4,0,"TB",9
"488",2,0,"LV",3
"489",4,0,"PHI",26
"490",3,1,"BUF",27
"491",11,0,"TEN",1
"492",0,0,"PHI",26
"493",1,0,"MIN",21
"494",45,1,"KC",8
"495",0,0,"SF",32
"496",6,0,"HOU",15
"497",5,0,"CIN",22
"498",17,1,"WAS",18
"499",5,0,"DEN",12
"500",4,0,"ATL",25
"501",2,0,"DEN",12
"502",0,1,"DAL",10
"503",4,0,"LV",3
"504",8,0,"HOU",15
"505",5,1,"WAS",18
"506",18,0,"NO",13
"507",34,0,"LV",3
"508",3,0,"NO",13
"509",5,0,"SF",32
"510",4,0,"TB",9
"511",16,0,"SF",32
"512",12,0,"TB",9
"513",10,0,"PIT",28
"514",2,0,"NYJ",23
"515",13,0,"LA",6
"516",11,0,"NO",13
"517",4,0,"BUF",27
"518",2,0,"PHI",26
"519",15,0,"PIT",28
"520",4,0,"MIA",20
"521",10,0,"PHI",26
"522",4,0,"PIT",28
"523",5,0,"JAX",16
"524",4,0,"TEN",1
"525",9,1,"TB",9
"526",3,0,"NE",19
"527",2,0,"BUF",27
"528",17,0,"NO",13
"529",8,0,"KC",8
"530",4,0,"TB",9
"531",1,0,"DET",31
"532",20,1,"SEA",30
"533",3,0,"TEN",1
"534",4,0,"LAC",17
"535",6,0,"CLE",7
"536",7,1,"KC",8
"537",14,0,"WAS",18
"538",13,0,"LV",3
"539",34,0,"PIT",28
"540",10,0,"BAL",4
"541",14,0,"MIN",21
"542",7,0,"CIN",22
"543",17,1,"BUF",27
"544",20,0,"CHI",5
"545",8,0,"SF",32
"546",5,0,"NYG",11
"547",7,0,"MIN",21
"548",5,0,"LA",6
"549",0,0,"CLE",7
"550",8,0,"GB",14
"551",24,0,"GB",14
"552",13,0,"NO",13
"553",3,0,"PIT",28
"554",39,1,"CIN",22
"555",43,1,"SEA",30
"556",41,0,"ARI",2
"557",4,0,"PIT",28
"558",1,0,"MIN",21
"559",1,0,"CAR",24
"560",17,0,"TB",9
"561",26,0,"MIA",20
"562",15,0,"IND",29
"563",24,0,"NO",13
"564",7,0,"SF",32
"565",9,0,"NE",19
"566",2,0,"GB",14
"567",7,1,"CAR",24
"568",13,0,"CAR",24
"569",2,0,"DAL",10
"570",5,0,"LAC",17
"571",2,1,"MIN",21
"572",6,0,"DET",31
"573",5,0,"LV",3
"574",2,0,"TB",9
"575",4,1,"LA",6
"576",1,0,"ARI",2
"577",4,0,"SF",32
"578",29,0,"SF",32
"579",6,1,"NE",19
"580",20,0,"ARI",2
"581",17,0,"CLE",7
"582",0,0,"TB",9
"583",0,0,"TB",9
"584",5,0,"ATL",25
"585",5,0,"NYJ",23
"586",5,0,"CHI",5
"587",3,0,"NYG",11
"588",9,0,"SF",32
"589",4,0,"KC",8
"590",26,0,"CIN",22
"591",8,1,"IND",29
"592",0,0,"CHI",5
"593",5,0,"KC",8
"594",2,0,"MIA",20
"595",4,0,"NYJ",23
"596",30,1,"MIN",21
"597",10,0,"SF",32
"598",5,0,"DET",31
"599",1,0,"BUF",27
"600",0,0,"NYG",11
"601",4,0,"SEA",30
"602",17,0,"LV",3
"603",5,0,"BAL",4
"604",25,0,"CIN",22
"605",8,0,"GB",14
"606",1,0,"NYJ",23
"607",3,0,"NYG",11
"608",6,1,"NE",19
"609",0,0,"NO",13
"610",28,0,"DEN",12
"611",52,0,"HOU",15
"612",0,0,"ATL",25
"613",5,0,"DEN",12
"614",5,1,"HOU",15
"615",10,0,"CHI",5
"616",21,1,"CHI",5
"617",10,0,"PIT",28
"618",3,0,"KC",8
"619",8,1,"CHI",5
"620",14,0,"PHI",26
"621",0,0,"MIA",20
"622",3,0,"BUF",27
"623",21,0,"PIT",28
"624",0,0,"DEN",12
"625",17,0,"LA",6
"626",4,0,"IND",29
"627",8,0,"LAC",17
"628",39,0,"DEN",12
"629",8,0,"SEA",30
"630",2,0,"CAR",24
"631",6,1,"MIN",21
"632",12,1,"LAC",17
"633",15,0,"NYJ",23
"634",2,0,"WAS",18
"635",5,0,"PHI",26
"636",12,0,"SF",32
"637",0,0,"NO",13
"638",6,0,"LA",6
"639",2,0,"TB",9
"640",1,0,"BAL",4
"641",6,0,"LAC",17
"642",11,0,"NO",13
"643",5,0,"ATL",25
"644",5,0,"TB",9
"645",6,0,"SF",32
"646",10,0,"PIT",28
"647",0,0,"CIN",22
"648",0,0,"BAL",4
"649",1,0,"MIA",20
"650",1,0,"GB",14
"651",3,0,"NYJ",23
"652",3,0,"MIA",20
"653",14,1,"LV",3
"654",8,0,"BUF",27
"655",40,0,"KC",8
"656",3,0,"LA",6
"657",21,0,"LV",3
"658",3,0,"CHI",5
"659",15,0,"CAR",24
"660",3,0,"MIN",21
"661",12,1,"LV",3
"662",11,0,"CIN",22
"663",17,1,"MIA",20
"664",49,0,"LAC",17
"665",18,1,"PIT",28
"666",5,0,"DET",31
"667",4,0,"NO",13
"668",14,0,"ATL",25
"669",12,0,"LAC",17
"670",0,0,"CAR",24
"671",5,0,"CLE",7
"672",8,0,"JAX",16
"673",9,0,"BUF",27
"674",32,0,"JAX",16
"675",5,1,"CAR",24
"676",3,0,"SF",32
"677",4,0,"LA",6
"678",0,0,"CLE",7
"679",17,0,"PIT",28
"680",5,0,"ARI",2
"681",10,0,"ATL",25
"682",9,0,"SEA",30
"683",18,0,"PIT",28
"684",1,0,"CAR",24
"685",2,1,"KC",8
"686",0,0,"HOU",15
"687",8,0,"PIT",28
"688",0,0,"GB",14
"689",3,0,"LAC",17
